Hospital,#colm,var_colm_stuc,hd_tm,vr0,l_mark_for_render,hd_cl1,hd_cl1_0,hd_cl1_1,hd_cl2,hd_cl2_0,hd_cl2_1,hd_cl3,hd_cl3_0,hd_cl3_1,hd_cl4,hd_cl4_0,hd_cl4_1,hd_cl5,hd_cl5_0,hd_cl5_1,hd_cl6,hd_cl6_0,hd_cl6_1,hd_cl7,hd_cl7_0,hd_cl7_1,hd_cl8,hd_cl8_0,hd_cl8_1,hd_cl9,hd_cl9_0,hd_cl9_1,start1,start_no,start1_t,end1,end_no,end1_t,sbt,sbt_cnsd,sbt_not_cnsd,sbt_no,vacant_box,correct_box,correct_spl_box,boxwise_corr,spf_spl_corr,head_to_home,specific_head_corr,correct_head,cnt_cond,space_within_box,pre_peronailse_at_basic_ext,peronailse_at_basic_ext,peronailse_at_merge,num_data,fc_yes,add_head,head_pos_corr,add_subtotal,sift_sbt,head_to_head_sbt,add_to_cnld,one_to_many,recognise_head,one_to_two_line,w_mark_txt,crop_data_1,clean_data_1,cd1_yes,ss1_yes,skip_data_1,sd1_yes,addj_overlap,clean_amt,ca_yes,crop_shift_1,cs1_yes,correct_cld_1,prefer_next,shift_data_1,merge_param,merge_space,mp_else,merge_set,spl_bottom,qty,date,rate,total,discount,amount,disc_func,rate_func,dot_zz_func,datetime_func,dtf_yes,date_func,df_yes,head_list,hdl_no,lebels,head_identify_1,correct_combination,default_clm_rng
kokilaben,7,,"Date/Time,11",40,,"Service Name,Name/Service,1","4,3,0","11,4,0","Date/Time,Date/Time,0","1,3,0","1,3,0","Batch/Exp,Batch/Exp,0","1,4,0","1,1,0","Qty,Date/Manuf,1","5,2,1","5,3,0","Total,Total,0","3,4,0","0,1,0","Discount,Discount,0","1,5,0","0,1,0","Amount,Amount,0","3,4,0","0,1,0",,,,,,,"Date/Manuf,Date/Manuf",,12,"Payable by,Payable by,Unit of Mandke Foundation,",,60,Subtotal,,,Total Vitamin,,,,"0,m Rent (Ward),Room Rent (Ward)#0,gnostics,Diagnostics#0,or Visit Fees,Doctor Visit Fees#0,ackages,Packages#0,Room Rent (Ward,Room Rent (Ward)#",,,,,,,,yes,,,"\d\/\d{4}\s\d{2}\:\d{2},4,0,1",,,,,,,,,,,,yes,"\d\/\d{2}\/\d{4}\s\d{2}\:\d{2},0,1",,,,,,,,,,,,"\d\/\d{4}\s\d{2}\:\d,\/\d{4}\s\d{2}\:\d{2},\d{2}\/\d{2}\/\d{4}\s\d,\d{2}\/\d{2}\/\d{4},1,1,1,1,2",,,,,hd_cl4,hd_cl2,,hd_cl5,hd_cl6,hd_cl7,yes,,yes,yes,,,,"Packages,Diagnostics,Doctor Visit Fees,Hospital Services,Others,Pharmacy,Procedures,Room Rent (Ward),ICU Services",,"Item,Date,Batch/Exp Date,Quantity,Amount,Discount,Total",yes,,
fortis,9,,"t Amount|t Gross,18",60,,"Particulars,Particular|particular,1","2,3,0","1,3,0","HSN/SAC,SN/|/SAC,1","3,5,0","0,1,0","Batch No,Batch,1","1,3,0","1,5,0","Expiry Date,Expiry,1","1,4,0","1,4,0","Date,Quantity,1","5,2,0","1,1,1","Quantity,Quantity,0","0,1,0","1,5,0","Service Amount,Service|Gross,1","1,4,1","1,1,0","Discount,Discount,0","1,3,1","3,4,0","Net,Discount,1","4,3,1","5,2,0","SN/,HS\s?/SAC,",,12,"BILL AMOUNT,Page",,8,SUB TOTAL,,,Total Vitamin,,"1,SUE TOTAL,SUB TOTAL#1,SUB 101AL,SUB TOTAL#1,SUB TOIN,SUB TOTAL#1,SUB ICIAL,SUB TOTAL#1,SU 3 TOTAL,SUB TOTAL#1,SUB-TOTAL,SUB TOTAL#",,,,,"5 OTHER PROCEDURE,0,OTHER PROCEDURE,0",,,yes,,yes,yes,,,,,,,,,,yes,,,,yes,"\d{6},0,1","8,7,space#",yes,"INPATIENT DETAIL RUNNING,3,GST N,4,CIN N,4,GST N,4,Net A,4",,,,,,,,,"\d\-\w{3}\-\d{4}|\d\s\w{3}\s\d{4}|\d\s\w{3}\s\d{4}|\d\s\w{3}\-\d{4}|\d\-\w{3}\-\s\d{4}|\d\-\w{3}\s\d{4},\d\s?\.\s?\d,\d\s?\.\s?\d,\d{6},4,8,6,1,3",,,,,hd_cl6,hd_cl5,,hd_cl7,hd_cl8,hd_cl9,yes,,yes,,,yes,,"CONSUMABL,CONSULTATION,CONSUMABLE,DRUG,INVESTIGATION,OTHER PROCEDURE,BED SIDE PROCEDUR,ROOM RENT,BED SIDE PROCEDURE,BED SIDE,PACKAGE,SURGERY,EQUIPMENT,PHYSIOTHERAPY,PACKAGE#,BLOOD COMPONENT",,"Item,Code,Batch,Expiry,Date,Quantity,Amount,Remark,Remark",yes,,
fortis1,9,,"t Amount|t Gross,18",80,,"Particulars,Particular|particular,1","2,3,0","1,3,0","HSN/SAC,SN/|/SAC,1","3,5,0","0,1,0","Batch No,Batch,1","1,3,0","1,5,0","Expiry Date,Expiry,1","1,4,0","1,4,0","Date,Quantity|Qty,1","5,2,0","1,10,1","Quantity,Quantity|Qty,0","0,1,0","1,10,1","Service Amount,Service|Gross|Grass,1","8,10,0","1,4,0","Discount,Discount,0","1,3,1","3,4,0","Net,Net,1","1,1,1","3,1,0","SN/|Particulars,HS\s?/SAC,",,12,"BILL AMOUNT,Page",,8,SUB TOTAL,,,Total Vitamin,,"1,SUE TOTAL,SUB TOTAL#1,SUB 101AL,SUB TOTAL#1,SUB TOIN,SUB TOTAL#1,SUB ICIAL,SUB TOTAL#1,SU 3 TOTAL,SUB TOTAL#1,SUB-TOTAL,SUB TOTAL#",,"0,DRUG .,DRUG#0,OTHER PROCEDUR,OTHER PROCEDURE#",,,"5 OTHER PROCEDURE,0,OTHER PROCEDURE,0",,,yes,,yes,yes,,,,,,,,,,yes,,,,yes,"\d{6},0,1","8,7,space#",yes,"INPATIENT DETAIL RUNNING,3,GST N,4,CIN N,4,GST N,4,Amount,6",,,,,,,,,"\d\-\w{3}\-\d{4}|\d\s\w{3}\s\d{4}|\d\s\w{3}\s\d{4}|\d\s\w{3}\-\d{4}|\d\-\w{3}\-\s\d{4}|\d\-\w{3}\s\d{4}|\d+\-\w+,\d\s?\.\s?\d|\d\D\d,\d\s?\.\s?\d,\d{6},4,8,6,1,3",,,,,hd_cl6,hd_cl5,,hd_cl7,hd_cl8,hd_cl9,yes,,yes,,,yes,,"CONSUMABL,CONSULTATION,CONSUMABLE,DRUG,INVESTIGATION,OTHER PROCEDURE,BED SIDE PROCEDUR,ROOM RENT,BED SIDE PROCEDURE,BED SIDE,PACKAGE,SURGERY,EQUIPMENT,PHYSIOTHERAPY,PACKAGE#,BLOOD COMPONENT,Implant",,"Item,Code,Batch,Expiry,Date,Quantity,Amount,Remark,Remark",yes,,"62, 395, 400, 725, 709, 884, 917, 1091, 868, 1356, 1323, 1356, 1291, 1561, 1774, 1960, 2257, 2675"
apolo,9,,"as Code|Alias Cod,11",25,Bill N,"Service Code,Service,1","5,3,0","2,5,1","Service Name,Service,1","1,4,1","3,2,0","Dr. Name,Start,1","5,4,0","1,2,1","Start Date,Start,1","1,5,0","1,3,0","Enad Date,End,1","1,5,0","1,3,0","Qty,Duration,1","1,2,0","0,1,0","RefTariff,RefTariff,0","1,5,0","0,1,0","Dis,Dis|Dia,0","0,1,0","0,1,0","Amount,Amount,0","0,1,0","1,3,0","Order,ame,Bill No|Bill. No",Draft name,-7,"ndicates bed|indicates be|noceles val setan|By indicates|indicates stat|stat service,Bed Detail,Grand Total|For enq",,15,Total,Dept Sub T,,Sub Total,,"0,|Nursing and Hospitals Utilities(9993),Nursing and Hospitals Utilities(9993)#1,Jursing,Nursing#","1,Medical R,Medical Records#1,Wards Oth,Wards Others#5,Dept Sub To,Dept Sub Total",,,,"nistration(9993),1,Medical Administration(9993),0#umables(,0,OT Consumables (9993),0#|Medical Services(9993),0,Medical Services(9993),0#|Ward Consumables(9993),0,Ward Consumables(9993),0#|Profile(999311),0,Profile(999311),0#|Nutritional and Functional Assessment Charges(9993),0,Nutritional and Functional Assessment Charges(9993),0#ematology,1,Hematology,1",yes,,yes,,yes,yes,,,,,,,,,,,"yes,",,"0,space,0",,,"6,5,space#8,7,space",yes,"Disclaimer|Bed Detalls|KEEP THE REPORTS,0,Discount|Markup,2,Page,7,Page|Bill No :|Bed Category|STROKE HDU|EMERGENCY|Payer Payable,5,Page|Bill No :,6","6,5,space",,,,,,,"0,1,\d\-\w{3}\-\d{2}","\d\s?\.\s?\d,\d\-\w{3}\-\d?\d|\d{4}|\d\w\+\d{3},\d\w\+\d{3},\d\/\d{2}\/\d{4},\d\/\d{2}\/\d{4}|\d{2}\/\d{2}\/\d{3}\d?|\d\/\D{2}\/\d{4},\d\.\d,8,0,0,2,3,6,5",,,"Psychiatry,Radiology Molecular Imaging & Nuclear Medicine,MRI Radiol,Pulmonary Function Lab,Neurology,Transplantation immunology,Echo Lab,ab Others,JItrasound Radiology,Nephrology,K Ray,Gastroenterology,Colour Doppler,Microbiol,Pet CT,Jursing,Consultati,Cardiology,Cath Lab,C T Scan Radiology,Radiology,BioChemi,SPINE SURGERY,Vards Others,Food and Beverages,Paediatrics,Pediatric,BloChemistry,Blood Bank - 2 Services,Medical,Oncology Medical,MRI Radiology,Physiotherapy and Rehab Center,Medical Services,consultation,F & B Room Service,Obstretics & Gynaecology,CT Scan Radiology,Emergency Medical Services,Wards Others,Orthopaedics,
Histopathology,Emergency Medical Services,Lab Others,Ear Nose and Throat,Histopathology,Pharmacy,Consultation,Oncology Surgical,Operation Theatre,X Ray,General Surgery,CHARGES#,Anaesthesiology,Nursing,Materials Management,Recovery Room,Plastic & Cosmetic Surgery,CARDIOLOGY,BioChemistry,Molecular Biology and Cytogenetics,Ultrasound Radiology,Microbiology,Medical Records,Operations,Medica,Dietetics,CSSD,Haematology,Critical Care,Consult,Wards,Reconstructive Surgery,Diabetics,Hematology",,,,,,,,,,,,,,,"Ward Pharmacy(999311),Cathlab Charges(9993),Blood Bank - 1 Products,Respiratory Medicine - Others,nsultation,ECG,Cath Lab Procedures(999311),|Profile(999311),Consultation (999311),Package Charges(9993),OT Consumables (9993),OT Consumables (999311),Non Invasive Procedure(99,Package Charges(999311),Cathlab Consumables (999311),Investigations(9,Medical S,Special Diet(999311),Medical Services(9,nvasive Procedures(9993,Nutritional and Functional Assessment Chargesoogst not Final,Medical Administration,Medical Admini,ultation(9993),Investigations(999,Surgical Pack,Cathlab Consumables(9993),Ward Pharmacy(9,Registration (9993),Cathlab Pharmacy(9993),Cathlab Pharmacy(9993,Assistant Surgeon Fee(9993),Professional Charges(,Other Consumable(9993),OT Pharmacy (9993),Nursing and Hospitals,|Ward Consumables(9993),Assistant Doctor Fee(9993),Blood Administration Charges(9993),tigations(9993),Hospital services (others)(9993),Professional Charges(9093),Investigation s(9993),Room Rent(! 993),Ward Pharmacy (9993),Emergency Services(9993),Invasive Procedures(9093),Consultation 9593),Professional Charges[9903),Medical Administration(#993),Medical Services(9993],OT Charges(8993],DT Pharmacy(5993),Room Rent(0993j,Equipment[ 1993),ical Services(9993),Medical Administration (9993),Ward Pharmacy(8993),Ward consumables[QT stores)(8993),Ward consumables (OT stores)(9993),Physiotherapy (9993),|Ward consumables(OT stores)(9993),Physiotherapy(9993),Investigations[9993),|Ward Pharmacy(9993),Assessment Service(9993),Ward Pharmacy(9993),Medical Administration(9993),Equipment(9993,Nursing and Hospitals Utilities(9993),|Nursing and Hospitals Utilities(9993),Nutritional and Functional Assessment Charges(9993),Surgical Package(9993),Pharmacy Items(9993),IP Pharmacy(9993),Profile(9993,Profile(9993),Ward Pharmacy (9993),CSSD(9993),Equipment(9993),Invasive Procedures(9993),Investigations(9993),OT Charges(9993),OT Consumables(9993),OT Pharmacy(9993),Professional Charges(9993),Ward consumables(OT stores)(9993),Consultation(9993),Consultation(9993,|Medical Administration(9993),Medical Administration(9993),|Medical Services(9993),Medical Services(9993),Nursing and Hospitals Utilities(9993),|Nutritional and Functional Assessment Charges(9993),Room Rent(9993),Ward consumables(OT stores),Pharmacy Consumables(9993),Medical Records(0993),Medical Records(9993),Non Invasive Procedure(9993),HEADING,|Profile(9993),Blood Bank Procedure(9993),Professional Charges (999311),Hospital services (others) (999311),Consultation(999311),Cathlab Charges (999311)",,"Code,Item,Doctor?ame,Start?ateTime,End?ateTime,Quantity,Rate,Remark,Amount",yes,"5,6,7,8,percent",
apolo_1,6,,"Service Name|e Name,14",40,,"Service Name,Service|e Name,1","1,2,1","3,1,0","Dr. Name,Start,1","3,1,0","1,1,1","Start Date,Start,1","1,5,0","1,3,0","Enad Date,End,1","1,5,0","1,2,0","Qty,Duration,1","1,2,0","0,1,0","Amount,Amount,0","0,1,0","1,3,0",,,,,,,,,,"Amount,Bill No|Bill. No,",,-7,"Grand Total,Page",,5,Sub Total,,,Total Vitamin,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,"\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d,5,5,5,5,3",,,,,,,,,,,,,,,,,,"Ward Pharmacy(999311),Cathlab Charges(9993),Blood Bank - 1 Products,Respiratory Medicine - Others,nsultation,ECG,Cath Lab Procedures(999311),|Profile(999311),Consultation (999311),Package Charges(9993),OT Consumables (9993),OT Consumables (999311),Non Invasive Procedure(99,Package Charges(999311),Cathlab Consumables (999311),Investigations(9,Medical S,Special Diet(999311),Medical Services(9,nvasive Procedures(9993,Nutritional and Functional Assessment Chargesoogst not Final,Medical Administration,Medical Admini,ultation(9993),Investigations(999,Surgical Pack,Cathlab Consumables(9993),Ward Pharmacy(9,Registration (9993),Cathlab Pharmacy(9993),Cathlab Pharmacy(9993,Assistant Surgeon Fee(9993),Professional Charges(,Other Consumable(9993),OT Pharmacy (9993),Nursing and Hospitals,|Ward Consumables(9993),Assistant Doctor Fee(9993),Blood Administration Charges(9993),tigations(9993),Hospital services (others)(9993),Professional Charges(9093),Investigation s(9993),Room Rent(! 993),Ward Pharmacy (9993),Emergency Services(9993),Invasive Procedures(9093),Consultation 9593),Professional Charges[9903),Medical Administration(#993),Medical Services(9993],OT Charges(8993],DT Pharmacy(5993),Room Rent(0993j,Equipment[ 1993),ical Services(9993),Medical Administration (9993),Ward Pharmacy(8993),Ward consumables[QT stores)(8993),Ward consumables (OT stores)(9993),Physiotherapy (9993),|Ward consumables(OT stores)(9993),Physiotherapy(9993),Investigations[9993),|Ward Pharmacy(9993),Assessment Service(9993),Ward Pharmacy(9993),Medical Administration(9993),Equipment(9993,Nursing and Hospitals Utilities(9993),|Nursing and Hospitals Utilities(9993),Nutritional and Functional Assessment Charges(9993),Surgical Package(9993),Pharmacy Items(9993),IP Pharmacy(9993),Profile(9993,Profile(9993),Ward Pharmacy (9993),CSSD(9993),Equipment(9993),Invasive Procedures(9993),Investigations(9993),OT Charges(9993),OT Consumables(9993),OT Pharmacy(9993),Professional Charges(9993),Ward consumables(OT stores)(9993),Consultation(9993),Consultation(9993,|Medical Administration(9993),Medical Administration(9993),|Medical Services(9993),Medical Services(9993),Nursing and Hospitals Utilities(9993),|Nutritional and Functional Assessment Charges(9993),Room Rent(9993),Ward consumables(OT stores),Pharmacy Consumables(9993),Medical Records(0993),Medical Records(9993),Non Invasive Procedure(9993),HEADING,|Profile(9993),Blood Bank Procedure(9993),Professional Charges (999311),Hospital services (others) (999311),Consultation(999311),Cathlab Charges (999311),Cathlab Consumables(999311),Assessment Service(999311),Cathlab Charges(999311),Ward consumables(OT stores)(999311),CSSD(999311),Equipment(999311),Investigations (999311),Medical Administration(999311),Medical Services(999311),Nursing and Hospitals Utilities(999311),Nutritional and Functional Assessment Charges(!,Physiotherapy(999311),Profile(999311)",,"Item,Doctor?ame,Start?ateTime,End?ateTime,Quantity,Rate,Amount",,,
apolo_daycare,7,,"Amount,20",25,,"Alias,Alias","1,1,0","1,10,0","Service Name,Service,1","1,1,0","1,1,0","Department,Department","1,2,0","1,2,0","Qty,Qty","1,5,0","1,3,0","Tariff,Tariff","1,5,0","1,10,0","Dis,Dis","1,10,0","1,10,0","Amount,Amount","1,10,0","0,1,0",,,,,,,"Service Type,",,1,"Service Amount,Page",,15,Sub Total,,,Total Vitamin,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,"\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d,4,4,6,6,2",,,,,,,,,,,,,,,,,,"Ward Pharmacy(999311),Cathlab Charges(9993),Blood Bank - 1 Products,Respiratory Medicine - Others,nsultation,ECG,Cath Lab Procedures(999311),|Profile(999311),Consultation (999311),Package Charges(9993),OT Consumables (9993),OT Consumables (999311),Non Invasive Procedure(99,Package Charges(999311),Cathlab Consumables (999311),Investigations(9,Medical S,Special Diet(999311),Medical Services(9,nvasive Procedures(9993,Nutritional and Functional Assessment Chargesoogst not Final,Medical Administration,Medical Admini,ultation(9993),Investigations(999,Surgical Pack,Cathlab Consumables(9993),Ward Pharmacy(9,Registration (9993),Cathlab Pharmacy(9993),Cathlab Pharmacy(9993,Assistant Surgeon Fee(9993),Professional Charges(,Other Consumable(9993),OT Pharmacy (9993),Nursing and Hospitals,|Ward Consumables(9993),Assistant Doctor Fee(9993),Blood Administration Charges(9993),tigations(9993),Hospital services (others)(9993),Professional Charges(9093),Investigation s(9993),Room Rent(! 993),Ward Pharmacy (9993),Emergency Services(9993),Invasive Procedures(9093),Consultation 9593),Professional Charges[9903),Medical Administration(#993),Medical Services(9993],OT Charges(8993],DT Pharmacy(5993),Room Rent(0993j,Equipment[ 1993),ical Services(9993),Medical Administration (9993),Ward Pharmacy(8993),Ward consumables[QT stores)(8993),Ward consumables (OT stores)(9993),Physiotherapy (9993),|Ward consumables(OT stores)(9993),Physiotherapy(9993),Investigations[9993),|Ward Pharmacy(9993),Assessment Service(9993),Ward Pharmacy(9993),Medical Administration(9993),Equipment(9993,Nursing and Hospitals Utilities(9993),|Nursing and Hospitals Utilities(9993),Nutritional and Functional Assessment Charges(9993),Surgical Package(9993),Pharmacy Items(9993),IP Pharmacy(9993),Profile(9993,Profile(9993),Ward Pharmacy (9993),CSSD(9993),Equipment(9993),Invasive Procedures(9993),Investigations(9993),OT Charges(9993),OT Consumables(9993),OT Pharmacy(9993),Professional Charges(9993),Ward consumables(OT stores)(9993),Consultation(9993),Consultation(9993,|Medical Administration(9993),Medical Administration(9993),|Medical Services(9993),Medical Services(9993),Nursing and Hospitals Utilities(9993),|Nutritional and Functional Assessment Charges(9993),Room Rent(9993),Ward consumables(OT stores),Pharmacy Consumables(9993),Medical Records(0993),Medical Records(9993),Non Invasive Procedure(9993),HEADING,|Profile(9993),Blood Bank Procedure(9993),Professional Charges (999311),Hospital services (others) (999311),Consultation(999311),Cathlab Charges (999311),Assessment Service(999311),Equipment(999311,Investigations(999311,Medical Administration(999311),Medical Services(999311),Nutritional and Functional Assessment Charges(999311),Nursing and Hospitals Utilities(999311),OT Charges(999311),OT Consumables(999311),OT Pharmacy(999311),Professional Charges(999311),Profile(999311),Ward consumables(OT stores)(999311),Room Rent(999311),Pharmacy(999311),Non Invasive Procedure(999311),Non Invasive Procedure(999311,Investigations(999311)",,"Code,Item,Remark,Quantity,Rate,Remark,Amount",,,
medanta,6,yes,"BILL OF SUPPLY|BILL OF SUPP,18",,,"Item,Bill N,0,BILL OF SUPPLY|LL OF SUPPLY,0","3,5,0","4,5,1","Date,BILL OF SUPPLY|LL OF SUPPLY,0,Bill D|ll Date,0","3,4,0","1,8,1","Batch/Exp,Bill D|ll Date,0,Bill D|ll Date,2","1,12,0","1,2,1","Qty,Bill D|ll Date,2,Bill D|ll Date,2","1,2,1","3,2,0","Discount,Bill D|ll Date,2,Qty,0","3,2,1","1,10,0","Total,Qty,0,Qty,2","1,10,1","3,1,0",,,,,,,,,,"Batch/Exp,Batch/Exp,Qty",,20,"Payable By,Payable By",,20,Subtotal,,,Total Vitamin,,,,"0,CU Room Charges(Subtotal),ICU Room Charges(Subtotal)#0,-ab Charges(Subtotal),Lab Charges(Subtotal)#0,Medical Consumable Ch,Medical Consumable Charges#0,OPCO Drugs,DPCO Drugs#0,Room Charges . .,Room Charges#0,nterventional Radiology,Interventional Radiology#0,Robotic charges(Subtotal).,Robotic charges(Subtotal)#",,,"CU Room Charges,0,ICU Room Charges,0#PCO Drugs,0,DPCO Drugs,0#: DPCO Drugs,0,DPCO Drugs,0",,,,,yes,,"hd_cl5,hd_ch6","\d\/\d\s?\d\/\d{4}\s\d{2}\:\d{2},3,0,1",,,,,,,,,,,,,,,yes,"MC-2346,0,Certificate,0,MC-2346,0,Certificate,0,of,4",,,,,,,,,"\d\.\d|\d\s\d,\d\/\d{2}\/\d{4},\d\.\d,\d\/\d{2}\/\d{4},\d\.\d,\d\/\d{2}\/\d{4},5,1,4,1,5,1,3",,,"Orthopaedics Surgeries-Adult,Obstetrics & Gynaecology,X-Ray,Physiotherapy,OT Charges,Gastrointestinal Surgery,Admission Charges,Critical care,Haematology,Computerised Tomography,Drugs Charges,Microbiology,Histopathology,General Medical Procedure,Gastroenterology Services,Biochemistry,Other Charges,Drug Charges,Computerised,Anaesthesia Charges,Tomography,Nursing Charges,Heart Station,Medical Consumable Charges,Neurology,Magnetic Resonance Imaging,Packages,Ultrasonography,Cath Procedure Other,Respiratory Medicine,Mobile X-Ray,Cytopathology,Mammography,Visit Charges,Medical Procedures,DPCO Drugs,Goods & Service Tax (GST),OTHER CHARGES,Consult Visit Charges,Oncology-Medical,Interventional Radiology,DSA,Cath Charges,Heart Station � Portable,Mobile Ultrasonography,Speech Therapy Procedure,Consumable Charges,Robot Charges","yes,1",,,,,,,,,,,,,,"Ortho Services,Obs & Gynae Surgery,Radiology Charges,Plastic Surgery,Physiotherapy Charges,ICU Visit Charges,Blood Bank,Equipment Charges,Specialized Medical Consumable Charges,Operation Theatre,Gastroenterology Charges,Heart Station,Miscellaneous Charges,Packages,Radiology Charges,Pharmacy Charges,Admin Charges,Critical Care Charges,Gen.S & Medicine,ICU Room Charges,Medical Consumable Charges,Lab Charges,Pharmacy Charges,Radiology,Room Charges Charges,Room Charges,Specialized Medical Consumable Charges,Visiting Consultant Charges,Miscellaneous Charges,Neurology Charges,Lab Charges,Cardiology,Respiratory Medicine,Consultation Charges,Medical Procedures,GST Tax,MISCELLANEOUS CHARGES,OTHER CHARGES,ICU Room Charges,PH & CON used as part of Treatment,Onco Charges,OT Surgery,Cath Lab/DSA Charges,Neurology Charges,Speech Therapy,Robotic charges",,"Item,Date,Manuf Date,Batch/Expiry,Quantity,Amount",,,
medanta_daycare,6,,"Code|code|Total|Discount,6",40,,"Code,Code|HSN/S","16,1,0","3,1,1","Remark,Code|HSN/S","3,1,0","2,1,1","Code,Code|HSN/S","1,2,0","1,2,0","Qty,Qty","1,2,0","1,2,0","Discount,Discount","1,2,0","1,10,0","Total,Discount","1,1,1","2,1,0",,,,,,,,,,"Code,",,1,"Tax,",,1,Total,,,Total Vitamin,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,"\d{5},\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d|\d\s\d,\d\s?\.\s?\d,\d\s?\.\s?\d,1,3,3,4,5,5,2",,,Consult Visit Charges,,,,,,,,,,,,,,,"Admin Charges,Medical Procedures,PH & CON used as part of Treatment",,"Particulars,Remark,Code,Qty,Remark,Amount",,,
medanta_daycare1,6,,"Rate,6",40,,"Particulars,Particular","4,1,0","1,2,0","Remark,Particular","1,1,1","1,1,0","Item,Item|tem","1,2,0","1,1,0","Unit,Unit","1,1,0","1,4,0","Rate,Rate","2,1,0","1,4,0","Amount,Rate","1,1,1","5,1,0",,,,,,,,,,"Particular,",,-20,"NET PAYABLE|NET PAYAB,Net P",,-10,TOTAL,,,Total Vitamin,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,"\d\s?\.\s?\d|\d+,\d\s?\.\s?\d|\d\s\d,\d\s?\.\s?\d,\d\s?\.\s?\d,5,5,5,5,2",,,,,,,,,,,,,,,,,,Head,,"Particulars,Remark,Remark,Qty,Rate,Amount",,,
medanta-lucknow,6,yes,"Discharge Date|charge Date|Attending Doctor,18",,,"Item,Bill N,0,Discharge Date|charge Date|Attending Doctor,0","3,5,0","2,1,1","Date,Discharge Date|charge Date|Attending Doctor,0,Bill D,0","3,2,0","1,8,1","Batch/Exp,Bill D,0,Bill D,2","1,12,0","1,2,1","Qty,Bill D,2,Bill D,2","1,2,1","3,2,0","Discount,Bill D,2,Total|Tot,0","3,2,1","1,4,1","Total,Total|Tot,0,Total|Tot,2","1,3,0","1,5,0",,,,,,,,,,"Manufactu|Batch/Exp,Batch/Exp,Qty,",,20,"Payable By,Payable By",,20,Subtotal,,,Total Vitamin,,"0,Radiology Charge,Radiology Charges#0,Radiology Chargess,Radiology Charges#0,Andesiilesia Cilalyes,Anesthesia charges#0,Mieuival Fiveunits,Medical Procedures#0,Medical Consumable Cilaryes,Medical Consumable Charges#",,"0,.4...... Admin. Charges(Subtotal),Admin Charges(Subtotal)#0,CU Room Charges,ICU Room Charges#0,able Charges,Medical Consumable Charges#0,OPCO Drug,DPCO Drugs#",,,,,,,,yes,yes,"hd_cl5,hd_ch6","\d\/\d\s?\d\/\d{4}\s\d{2}\:\d{2},3,0,1",,,,,,,,,,,,,,,yes,"MC-2346,0,Corporate Identity Number,3,MC-2346|Medanta - Lucknow+,0,Certificate,0,of,4",,,,,,,,,"\d\.\d|\d\s\d,\d\/\d{2}\/\d{4},\d\.\d,\d\/\d{2}\/\d{4},\d\.\d,\d\/\d{2}\/\d{4},5,1,4,1,5,1,3",,,"Orthopaedics Surgeries-Adult,Obstetrics & Gynaecology,Medical Procedure,X-Ray,Physiotherapy,OT Charges,Gastrointestinal Surgery,Admission Charges,Critical care,Haematology,Computerised Tomography,Drugs Charges,Microbiology,Histopathology,General Medical Procedure,Gastroenterology Services,Biochemistry,Other Charges,Drug Charges,Computerised,Anaesthesia Charges,Tomography,Nursing Charges,Heart Station,Medical Consumable Charges,Neurology,Magnetic Resonance Imaging,Packages,Ultrasonography,Cath Procedure Other,Respiratory Medicine,Mobile X-Ray,Cytopathology,Mammography,Visit Charges,Room Chargess,Pain Clinic,Nursing Charge,Heart Station - Portable,Outside Labs,Interventional Radiology,Anesthesia charges,Sleep Lab,Mobile Ultrasonography,OPCO Drugs,Cath Charges,DPCO Drugs,Oncology-Medical,Room Billing,Opthalmology Procedures","yes,1",,,,,,,,,,,,,,"Ortho Services,Obs & Gynae Surgery,Radiology Charges,Plastic Surgery,Physiotherapy Charges,ICU Visit Charges,Blood Bank,Equipment Charges,Specialized Medical Consumable Charges,Operation Theatre,Gastroenterology Charges,Heart Station,Miscellaneous Charges,Packages,Radiology Charges,Pharmacy Charges,Admin Charges,Critical Care Charges,Gen.S & Medicine,ICU Room Charges,Medical Consumable Charges,Lab Charges,Pharmacy Charges,Radiology,Room Charges Charges,Room Charges,Specialized Medical Consumable Charges,Visiting Consultant Charges,Miscellaneous Charges,Neurology Charges,Lab Charges,Cardiology,Respiratory Medicine,Consultation Charges,Medical Procedures,OT Surgery,PH & CON used as part of Treatment,Radiology Chargess,Critical Care Charges,Sleep Lab Charges,Cath Lab/DSA Charges,OTHER CHARGES,Onco Charges,Opth Procedures Charges",,"Item,Date,Manuf Date,Batch/Expiry,Quantity,Amount",,,
